ダウンロードした時刻：2018/07/25 15:40:43

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2015/1/1,4.4,8,1,9.9,8,1,1.9,8,1
2015/1/2,4.1,8,1,7.5,8,1,1.6,8,1
2015/1/3,4.7,8,1,8.6,8,1,0.7,8,1
2015/1/4,5.0,8,1,9.4,8,1,0.7,8,1
2015/1/5,7.0,8,1,12.3,8,1,1.7,8,1
2015/1/6,11.9,8,1,17.2,8,1,7.3,8,1
2015/1/7,6.2,8,1,9.3,8,1,3.8,8,1
2015/1/8,6.8,8,1,11.3,8,1,3.4,8,1
2015/1/9,7.1,8,1,11.1,8,1,4.2,8,1
2015/1/10,7.2,8,1,11.2,8,1,3.8,8,1
2015/1/11,7.3,8,1,11.0,8,1,2.9,8,1
2015/1/12,6.0,8,1,9.5,8,1,2.7,8,1
2015/1/13,6.8,8,1,11.6,8,1,2.3,8,1
2015/1/14,7.2,8,1,12.0,8,1,1.8,8,1
2015/1/15,6.7,8,1,8.3,8,1,4.3,8,1
2015/1/16,8.9,8,1,12.9,8,1,5.3,8,1
2015/1/17,7.8,8,1,12.2,8,1,2.3,8,1
2015/1/18,5.5,8,1,9.5,8,1,1.3,8,1
2015/1/19,6.4,8,1,12.0,8,1,0.6,8,1
2015/1/20,7.2,8,1,11.8,8,1,3.6,8,1
2015/1/21,3.1,8,1,4.4,8,1,2.3,8,1
2015/1/22,5.1,8,1,6.5,8,1,3.4,8,1
2015/1/23,7.9,8,1,13.1,8,1,4.8,8,1
2015/1/24,5.8,8,1,8.0,8,1,2.2,8,1
2015/1/25,7.3,8,1,13.0,8,1,1.5,8,1
2015/1/26,9.5,8,1,13.5,8,1,6.1,8,1
2015/1/27,10.0,8,1,13.7,8,1,6.5,8,1
2015/1/28,4.9,8,1,9.2,8,1,1.7,8,1
2015/1/29,3.9,8,1,7.8,8,1,0.0,8,1
2015/1/30,3.2,8,1,4.9,8,1,2.1,8,1
2015/1/31,6.4,8,1,10.9,8,1,2.8,8,1
2015/2/1,4.7,8,1,8.8,8,1,1.9,8,1
2015/2/2,5.5,8,1,9.6,8,1,2.5,8,1
2015/2/3,4.8,8,1,9.3,8,1,1.5,8,1
2015/2/4,5.1,8,1,9.0,8,1,1.9,8,1
2015/2/5,3.3,8,1,4.9,8,1,2.2,8,1
2015/2/6,5.6,8,1,10.3,8,1,1.3,8,1
2015/2/7,5.4,8,1,10.0,8,1,1.1,8,1
2015/2/8,5.1,8,1,8.6,8,1,3.1,8,1
2015/2/9,2.8,8,1,5.1,8,1,1.3,8,1
2015/2/10,4.3,8,1,7.6,8,1,-0.8,8,1
2015/2/11,6.6,8,1,10.5,8,1,1.0,8,1
2015/2/12,8.2,8,1,12.5,8,1,2.9,8,1
2015/2/13,5.7,8,1,10.7,8,1,2.5,8,1
2015/2/14,6.2,8,1,10.4,8,1,2.3,8,1
2015/2/15,6.4,8,1,11.7,8,1,2.5,8,1
2015/2/16,6.6,8,1,12.2,8,1,2.3,8,1
2015/2/17,4.3,8,1,5.6,8,1,2.5,8,1
2015/2/18,3.7,8,1,4.5,8,1,2.5,8,1
2015/2/19,6.1,8,1,12.0,8,1,1.6,8,1
2015/2/20,6.0,8,1,10.1,8,1,3.5,8,1
2015/2/21,5.5,8,1,9.9,8,1,1.8,8,1
2015/2/22,7.7,8,1,11.5,8,1,5.3,8,1
2015/2/23,13.6,8,1,19.9,8,1,8.3,8,1
2015/2/24,9.6,8,1,14.1,8,1,7.4,8,1
2015/2/25,8.8,8,1,11.8,8,1,7.7,8,1
2015/2/26,7.2,8,1,8.7,8,1,6.1,8,1
2015/2/27,8.3,8,1,13.1,8,1,4.9,8,1
2015/2/28,7.4,8,1,11.3,8,1,4.1,8,1
2015/3/1,9.2,8,1,13.2,8,1,5.7,8,1
2015/3/2,10.0,8,1,13.8,8,1,6.6,8,1
2015/3/3,6.1,8,1,8.3,8,1,4.3,8,1
2015/3/4,9.8,8,1,15.6,8,1,4.0,8,1
2015/3/5,9.5,8,1,13.9,8,1,6.3,8,1
2015/3/6,7.5,8,1,11.1,8,1,5.4,8,1
2015/3/7,6.3,8,1,7.7,8,1,4.8,8,1
2015/3/8,8.1,8,1,10.7,8,1,5.9,8,1
2015/3/9,9.2,8,1,10.4,8,1,7.9,8,1
2015/3/10,8.1,8,1,14.0,8,1,2.9,8,1
2015/3/11,6.6,8,1,10.1,8,1,1.4,8,1
2015/3/12,9.0,8,1,12.6,8,1,6.2,8,1
2015/3/13,9.4,8,1,13.2,8,1,4.0,8,1
2015/3/14,9.0,8,1,12.0,8,1,6.0,8,1
2015/3/15,9.4,8,1,13.9,8,1,4.6,8,1
2015/3/16,11.5,8,1,15.0,8,1,7.8,8,1
2015/3/17,13.9,8,1,18.7,8,1,9.7,8,1
2015/3/18,15.2,8,1,20.5,8,1,11.6,8,1
2015/3/19,12.7,8,1,17.2,8,1,10.0,8,1
2015/3/20,11.1,8,1,14.7,8,1,8.7,8,1
2015/3/21,9.9,8,1,14.1,8,1,8.3,8,1
2015/3/22,12.8,8,1,16.8,8,1,7.5,8,1
2015/3/23,10.3,8,1,15.7,8,1,3.9,8,1
2015/3/24,8.6,8,1,14.6,8,1,3.9,8,1
2015/3/25,8.8,8,1,13.8,8,1,4.8,8,1
2015/3/26,9.4,8,1,13.8,8,1,4.7,8,1
2015/3/27,12.0,8,1,16.9,8,1,5.9,8,1
2015/3/28,14.3,8,1,17.7,8,1,10.0,8,1
