ダウンロードした時刻：2023/10/24 09:47:57

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023/1/1,6.8,8,1,11.5,8,1,1.3,8,1,63,8,1
2023/1/2,6.7,8,1,11.3,8,1,2.4,8,1,47,8,1
2023/1/3,6.8,8,1,10.8,8,1,2.8,8,1,36,8,1
2023/1/4,6.3,8,1,10.8,8,1,2.1,8,1,44,8,1
2023/1/5,6.5,8,1,11.0,8,1,3.7,8,1,31,8,1
2023/1/6,6.0,8,1,10.5,8,1,1.7,8,1,44,8,1
2023/1/7,7.1,8,1,11.1,8,1,4.4,8,1,60,8,1
2023/1/8,7.8,8,1,12.5,8,1,3.3,8,1,53,8,1
2023/1/9,8.9,8,1,12.6,8,1,4.0,8,1,59,8,1
2023/1/10,7.1,8,1,10.6,8,1,4.5,8,1,36,8,1
2023/1/11,6.4,8,1,11.1,8,1,2.2,8,1,50,8,1
2023/1/12,6.8,8,1,12.4,8,1,2.4,8,1,59,8,1
2023/1/13,8.8,8,1,14.7,8,1,3.0,8,1,62,8,1
2023/1/14,12.3,8,1,16.4,8,1,9.7,8,1,82,8,1
2023/1/15,10.8,8,1,12.3,8,1,8.1,8,1,83,8,1
2023/1/16,6.8,8,1,8.1,8,1,5.4,8,1,87,8,1
2023/1/17,4.9,8,1,7.3,8,1,2.2,8,1,63,8,1
2023/1/18,7.3,8,1,11.3,8,1,4.4,8,1,67,8,1
2023/1/19,6.6,8,1,8.5,8,1,3.6,8,1,62,8,1
2023/1/20,8.2,8,1,11.5,8,1,4.7,8,1,62,8,1
2023/1/21,6.3,8,1,8.9,8,1,3.5,8,1,33,8,1
2023/1/22,4.6,8,1,7.6,8,1,2.0,8,1,49,8,1
2023/1/23,4.8,8,1,6.6,8,1,3.1,8,1,81,8,1
2023/1/24,5.0,8,1,11.7,8,1,-0.6,8,1,66,8,1
2023/1/25,0.3,8,1,3.5,8,1,-1.4,8,1,27,8,1
2023/1/26,3.5,8,1,7.7,8,1,-1.7,8,1,44,8,1
2023/1/27,3.8,8,1,7.9,8,1,1.6,8,1,65,8,1
2023/1/28,4.0,8,1,8.5,8,1,0.4,8,1,39,8,1
2023/1/29,3.8,8,1,8.4,8,1,-1.1,8,1,44,8,1
2023/1/30,4.6,8,1,11.0,8,1,-0.7,8,1,52,8,1
2023/1/31,4.7,8,1,8.6,8,1,1.8,8,1,38,8,1
2023/2/1,7.8,8,1,12.5,8,1,0.2,8,1,53,8,1
2023/2/2,7.1,8,1,9.7,8,1,5.2,8,1,31,8,1
2023/2/3,5.0,8,1,6.0,8,1,3.5,8,1,43,8,1
2023/2/4,6.7,8,1,11.6,8,1,3.0,8,1,63,8,1
2023/2/5,7.1,8,1,12.1,8,1,2.0,8,1,56,8,1
2023/2/6,7.9,8,1,11.8,8,1,3.0,8,1,61,8,1
2023/2/7,10.5,8,1,15.2,8,1,7.0,8,1,68,8,1
